Airline,Date_of_Journey,Source,Destination,Route,Distance,via_1,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Flight_Category,market_share
Jet Airways,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,18:50,995,1 stop,In-flight meal not included,7438,High,0.040169935
Jet Airways,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,14:00,4:25,865,1 stop,In-flight meal not included,12373,High,0.055619755
IndiGo,27-05-19,Banglore,Delhi,BLR → DEL,1740,No,7:10,10:05,175,non-stop,No info,4823,Low,0.005391613
Jet Airways,21-06-19,Banglore,Delhi,BLR → DEL,1740,No,8:20,11:20,180,non-stop,In-flight meal not included,5769,High,0.009650841
Multiple carriers,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,13:20,380,1 stop,No info,9042,High,0.042119816
Air India,06-04-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,17:20,9:25,965,1 stop,No info,4697,Mid,0.002944092
Jet Airways,09-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,19:50,345,1 stop,In-flight meal not included,10844,High,0.096462869
Air Asia,09-06-19,Banglore,Delhi,BLR → DEL,1740,No,4:55,7:45,170,non-stop,No info,8420,Low,0.001082166
Multiple carriers,06-03-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:10,16:10,540,1 stop,In-flight meal not included,7563,High,0.042119816
Air India,15-05-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,20:40,9:25,765,1 stop,No info,7480,Mid,0.020984595
Jet Airways,06-05-19,Banglore,Delhi,BLR → DEL,1740,No,11:10,14:05,175,non-stop,In-flight meal not included,4030,High,0.007989665
Multiple carriers,12-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:10,22:30,920,1 stop,No info,6513,High,0.055466841
Jet Airways,09-06-19,Kolkata,Banglore,CCU → GAU → BLR,3345,GAU,10:20,17:35,435,1 stop,No info,8355,High,0.03720203
Multiple carriers,21-05-19,Delhi,Cochin,DEL → IDR → BOM → COK,2240,IDR,15:05,1:30,625,2 stops,No info,16655,High,0.039017972
Jet Airways,18-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,5:45,18:15,750,1 stop,In-flight meal not included,10844,High,0.096462869
SpiceJet,21-06-19,Kolkata,Banglore,CCU → BLR,1559,No,17:10,19:40,150,non-stop,No info,3873,Low,0.003905035
IndiGo,09-06-19,Kolkata,Banglore,CCU → BLR,1559,No,15:15,17:45,150,non-stop,No info,5224,Low,0.005787152
Jet Airways,15-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,12:00,1170,1 stop,In-flight meal not included,10844,High,0.096462869
IndiGo,03-03-19,Kolkata,Banglore,CCU → BLR,1559,No,5:30,8:20,170,non-stop,No info,4778,Low,0.00489338
Jet Airways,09-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:50,18:50,1320,1 stop,No info,16289,High,0.040169935
Air India,18-03-19,Delhi,Cochin,DEL → COK,2081,No,5:10,8:00,170,non-stop,No info,5674,Mid,0.021058997
Air India,12-03-19,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,2500,BHO,6:00,11:55,1795,2 stops,No info,12854,Mid,0.006809644
Air India,09-03-19,Banglore,New Delhi,BLR → COK → DEL,2448,COK,22:00,11:05,785,1 stop,No info,8425,Mid,0.024396627
Jet Airways,21-03-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,5:30,18:50,2240,2 stops,In-flight meal not included,9328,High,0.040169935
Multiple carriers,03-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,15:30,795,1 stop,No info,17057,High,0.042119816
Jet Airways,03-05-19,Banglore,Delhi,BLR → DEL,1740,No,19:50,22:50,180,non-stop,No info,7229,High,0.007989665
IndiGo,03-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,21:00,570,1 stop,No info,14871,Low,0.019701721
Jet Airways,27-06-19,Delhi,Cochin,DEL → ATQ → BOM → COK,2877,ATQ,12:15,19:00,1845,2 stops,No info,14300,High,0.092673869
Jet Airways,12-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,9:20,730,1 stop,In-flight meal not included,8529,High,0.03720203
Multiple carriers,09-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,4:55,19:00,845,1 stop,No info,10877,High,0.055466841
IndiGo,21-05-19,Kolkata,Banglore,CCU → MAA → BLR,1650,MAA,17:35,22:15,280,1 stop,No info,5386,Low,0.008095207
Multiple carriers,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:45,18:50,485,1 stop,No info,11622,High,0.042119816
Multiple carriers,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,3:50,19:00,910,1 stop,No info,10197,High,0.039017972
Air Asia,21-05-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,16:45,22:30,345,1 stop,No info,8028,Low,0.001487584
IndiGo,01-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,12:00,13:30,90,non-stop,No info,2754,Low,0.002158096
Air India,03-03-19,Banglore,New Delhi,BLR → HYD → DEL,1720,HYD,8:15,21:25,790,1 stop,No info,6781,Mid,0.024396627
SpiceJet,21-05-19,Kolkata,Banglore,CCU → BLR,1559,No,17:10,19:40,150,non-stop,No check-in baggage included,3841,Low,0.004804334
Multiple carriers,06-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:20,19:15,535,1 stop,No info,8266,High,0.055466841
IndiGo,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,7:10,10:05,175,non-stop,No info,6144,Low,0.011442832
Jet Airways,24-04-19,Banglore,Delhi,BLR → DEL,1740,No,11:10,14:05,175,non-stop,In-flight meal not included,4544,High,0.007482835
Jet Airways,03-06-19,Delhi,Cochin,DEL → BHO → BOM → COK,2303,BHO,5:30,12:35,425,2 stops,No info,14441,High,0.092673869
Air India,12-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,21:05,22:25,80,non-stop,No info,3100,Mid,0.000962987
Jet Airways,18-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:25,14:25,1080,1 stop,No info,13067,High,0.096462869
Jet Airways,12-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,18:55,23:35,1720,1 stop,In-flight meal not included,8529,High,0.03720203
IndiGo,15-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,8:35,16:10,455,1 stop,No info,6442,Low,0.012972695
Multiple carriers,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:20,21:00,640,1 stop,No info,6480,High,0.055466841
Air India,03-03-19,Banglore,New Delhi,BLR → VGA → DEL,1892,VGA,10:30,11:20,1490,1 stop,No info,11003,Mid,0.024396627
Vistara,12-06-19,Banglore,Delhi,BLR → DEL,1740,No,21:00,23:50,170,non-stop,No info,4668,Mid,0.002233631
Jet Airways,09-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,4:40,1330,1 stop,No info,13941,High,0.096462869
Vistara,12-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,7:10,18:50,700,1 stop,No info,8820,Mid,0.009582484
Air India,09-03-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,17:45,23:00,315,1 stop,No info,9064,Mid,0.021058997
Jet Airways,06-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,8:25,19:50,685,1 stop,In-flight meal not included,10844,High,0.03720203
Jet Airways,18-05-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,5:30,19:00,810,2 stops,No info,15129,High,0.055619755
Multiple carriers,09-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:10,16:10,540,1 stop,No info,6513,High,0.039017972
Jet Airways,09-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,23:35,395,1 stop,No info,14676,High,0.03720203
IndiGo,18-05-19,Banglore,Delhi,BLR → DEL,1740,No,7:10,10:05,175,non-stop,No info,4823,Low,0.005391613
IndiGo,12-04-19,Kolkata,Banglore,CCU → BLR,1559,No,15:15,17:45,150,non-stop,No info,4174,Low,0.005137245
Jet Airways,09-03-19,Delhi,Cochin,DEL → DED → BOM → COK,2609,DED,15:55,4:25,750,2 stops,No info,19172,High,0.040169935
SpiceJet,12-04-19,Banglore,Delhi,BLR → DEL,1740,No,5:55,8:35,160,non-stop,No info,4423,Low,0.002278387
SpiceJet,12-06-19,Kolkata,Banglore,CCU → BLR,1559,No,6:55,9:30,155,non-stop,No info,3873,Low,0.003905035
IndiGo,03-06-19,Delhi,Cochin,DEL → LKO → COK,2357,LKO,21:50,3:35,345,1 stop,No info,7189,Low,0.016803179
Jet Airways,06-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,4:40,1330,1 stop,No info,13731,High,0.03720203
Jet Airways,12-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,10:55,1520,1 stop,No info,14151,High,0.096462869
Air India,21-05-19,Chennai,Kolkata,MAA → CCU,1366,No,11:40,13:55,135,non-stop,No info,4667,Mid,0.000444731
Jet Airways,01-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:25,19:10,1365,1 stop,No info,11467,High,0.096462869
Vistara,06-03-19,Mumbai,Hyderabad,BOM → DEL → HYD,2669,DEL,8:45,16:45,480,1 stop,No info,12395,Mid,0.003001829
Multiple carriers,21-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,17:15,0:55,460,1 stop,No info,7858,High,0.039017972
IndiGo,24-05-19,Kolkata,Banglore,CCU → BLR,1559,No,20:20,22:55,155,non-stop,No info,4804,Low,0.008095207
Jet Airways,09-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:25,9:45,800,1 stop,In-flight meal not included,13469,High,0.03720203
IndiGo,06-03-19,Delhi,Cochin,DEL → COK,2081,No,14:30,17:35,185,non-stop,No info,7673,Low,0.019701721
Jet Airways,09-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,18:00,1500,1 stop,No info,14151,High,0.03720203
Jet Airways,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,15:00,12:35,1295,1 stop,In-flight meal not included,10262,High,0.092673869
Jet Airways,24-06-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,9:40,12:35,1615,2 stops,No info,13014,High,0.092673869
Jet Airways,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,13:00,19:00,360,1 stop,In-flight meal not included,12373,High,0.055619755
Jet Airways,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:00,19:00,540,1 stop,In-flight meal not included,11399,High,0.055619755
SpiceJet,06-05-19,Banglore,Delhi,BLR → DEL,1740,No,9:30,12:20,170,non-stop,No info,3971,Low,0.001911711
Multiple carriers,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,6:00,21:00,900,1 stop,In-flight meal not included,6007,High,0.055466841
Air India,15-03-19,Banglore,New Delhi,BLR → VGA → DEL,1892,VGA,10:30,22:55,745,1 stop,No info,6383,Mid,0.024396627
IndiGo,12-05-19,Banglore,Delhi,BLR → DEL,1740,No,8:30,11:20,170,non-stop,No info,5740,Low,0.005391613
SpiceJet,15-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,13:15,14:45,90,non-stop,No check-in baggage included,1965,Low,0.000960816
Multiple carriers,21-03-19,Delhi,Cochin,DEL → HYD → MAA → COK,2453,HYD,7:10,21:20,850,2 stops,In-flight meal not included,5935,High,0.042119816
IndiGo,06-04-19,Kolkata,Banglore,CCU → BLR,1559,No,9:35,12:20,165,non-stop,No info,4174,Low,0.005137245
IndiGo,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,4:45,13:20,515,1 stop,No info,7738,Low,0.019701721
Air India,24-05-19,Delhi,Cochin,DEL → GOI → BOM → COK,3013,GOI,22:00,19:15,1275,2 stops,No info,10441,Mid,0.020984595
Air India,15-03-19,Mumbai,Hyderabad,BOM → HYD,622,No,21:05,22:25,80,non-stop,No info,3100,Mid,0.006809644
Jet Airways,06-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:30,19:00,1530,1 stop,No info,14714,High,0.092673869
Vistara,09-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,18:50,1550,1 stop,No info,9135,Mid,0.004067785
Air India,01-04-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:50,18:30,1540,1 stop,No info,7893,Mid,0.004157444
Jet Airways,06-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,23:35,395,1 stop,No info,12121,High,0.096462869
Air India,09-06-19,Delhi,Cochin,DEL → COK,2081,No,14:10,17:10,180,non-stop,No info,6094,Mid,0.029230629
IndiGo,09-06-19,Banglore,Delhi,BLR → DEL,1740,No,10:10,13:00,170,non-stop,No info,4423,Low,0.005589388
Jet Airways,21-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,20:35,7:40,665,1 stop,In-flight meal not included,7832,High,0.066758984
Vistara,03-04-19,Banglore,Delhi,BLR → DEL,1740,No,11:30,14:20,170,non-stop,No info,5403,Mid,0.002563821
SpiceJet,01-04-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:25,145,non-stop,No check-in baggage included,3841,Low,0.003339504
Jet Airways,21-03-19,Delhi,Cochin,DEL → BDQ → BOM → COK,2235,BDQ,10:45,4:25,1060,2 stops,No info,11093,High,0.040169935
Jet Airways,24-04-19,Banglore,Delhi,BLR → DEL,1740,No,19:50,22:50,180,non-stop,No info,7229,High,0.007482835
IndiGo,27-05-19,Banglore,Delhi,BLR → DEL,1740,No,16:55,19:55,180,non-stop,No info,4823,Low,0.005391613
Jet Airways,01-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,19:10,575,1 stop,No info,11467,High,0.096462869
IndiGo,01-05-19,Kolkata,Banglore,CCU → BBI → BLR,2842,BBI,7:10,12:40,330,1 stop,No info,6111,Low,0.008095207
Jet Airways,09-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,10:55,1075,1 stop,In-flight meal not included,8066,High,0.096462869
IndiGo,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,4:45,21:00,975,1 stop,No info,7258,Low,0.019701721
Air India,27-03-19,Delhi,Cochin,DEL → COK,2081,No,5:10,8:00,170,non-stop,No info,4729,Mid,0.021058997
Multiple carriers,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:10,18:50,580,1 stop,No info,15135,High,0.042119816
Air India,24-05-19,Kolkata,Banglore,CCU → BOM → COK → BLR,3095,BOM,9:25,1:20,955,2 stops,No info,12718,Mid,0.032907883
Jet Airways,18-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,2:55,4:20,85,non-stop,No info,5678,High,0.004235087
IndiGo,24-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,6:50,12:10,320,1 stop,No info,5298,Low,0.016803179
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,11:40,0:45,785,1 stop,No info,14815,High,0.066758984
SpiceJet,18-05-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:25,145,non-stop,No info,4491,Low,0.004804334
Multiple carriers,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:20,18:50,510,1 stop,No info,11421,High,0.042119816
Jet Airways,18-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,8:00,7:40,1420,1 stop,No info,12284,High,0.066758984
Jet Airways,12-05-19,Banglore,Delhi,BLR → DEL,1740,No,6:00,8:45,165,non-stop,No info,7229,High,0.007989665
IndiGo,15-04-19,Banglore,Delhi,BLR → DEL,1740,No,7:10,10:05,175,non-stop,No info,4823,Low,0.006068435
Jet Airways,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:55,4:25,450,1 stop,In-flight meal not included,12898,High,0.092673869
Multiple carriers,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:05,21:00,835,1 stop,No info,13587,High,0.055466841
Jet Airways,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:00,4:25,1165,1 stop,In-flight meal not included,12373,High,0.055619755
Multiple carriers,21-03-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:10,22:20,910,1 stop,In-flight meal not included,5999,High,0.042119816
Air India,18-05-19,Kolkata,Banglore,CCU → JAI → BOM → BLR,3115,JAI,8:20,18:30,610,2 stops,No info,10907,Mid,0.032907883
Jet Airways,06-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,21:05,690,1 stop,No info,14151,High,0.03720203
IndiGo,12-05-19,Banglore,Delhi,BLR → DEL,1740,No,23:30,2:20,170,non-stop,No info,4591,Low,0.005391613
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,14:05,20:20,375,1 stop,No info,19225,High,0.066758984
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,12:00,1315,1 stop,In-flight meal not included,9663,High,0.096462869
Jet Airways,01-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,18:15,705,1 stop,In-flight meal not included,10844,High,0.096462869
Multiple carriers,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,13:00,21:00,480,1 stop,No info,13727,High,0.039017972
Jet Airways,18-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,21:05,690,1 stop,No info,14151,High,0.096462869
Jet Airways,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,12:35,1100,1 stop,In-flight meal not included,10262,High,0.092673869
SpiceJet,12-06-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:25,145,non-stop,No info,3873,Low,0.003905035
Jet Airways,24-06-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,19:30,4:25,535,2 stops,No info,13014,High,0.092673869
Air India,21-06-19,Kolkata,Banglore,CCU → BLR,1559,No,14:15,16:45,150,non-stop,No info,5510,Mid,0.012242244
Jet Airways,09-03-19,Delhi,Cochin,DEL → BDQ → BOM → COK,2235,BDQ,10:45,4:25,1060,2 stops,No info,17282,High,0.040169935
Multiple carriers,27-03-19,Delhi,Cochin,DEL → HYD → MAA → COK,2453,HYD,9:45,21:20,695,2 stops,No info,6653,High,0.042119816
IndiGo,03-03-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,9:55,15:10,315,1 stop,No info,12214,Low,0.019701721
Air India,01-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,13:55,15:25,90,non-stop,No info,3625,Mid,0.001061985
IndiGo,03-03-19,Banglore,New Delhi,BLR → DEL,1740,No,8:30,11:30,180,non-stop,No info,6860,Low,0.011442832
GoAir,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:35,19:35,540,1 stop,No info,3876,Low,0.001867654
Vistara,27-04-19,Banglore,Delhi,BLR → DEL,1740,No,19:30,22:15,165,non-stop,No info,5613,Mid,0.002563821
Air India,27-03-19,Delhi,Cochin,DEL → NAG → BOM → COK,2596,NAG,5:55,7:40,1545,2 stops,No info,8971,Mid,0.021058997
Jet Airways,21-05-19,Banglore,Delhi,BLR → DEL,1740,No,19:50,22:50,180,non-stop,In-flight meal not included,4030,High,0.007989665
IndiGo,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,15:00,1:35,635,1 stop,No info,8075,Low,0.019701721
Multiple carriers,15-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,6:00,21:00,900,1 stop,No info,7005,High,0.055466841
IndiGo,06-03-19,Kolkata,Banglore,CCU → BLR,1559,No,22:10,0:55,165,non-stop,No info,4778,Low,0.00489338
Vistara,09-05-19,Chennai,Kolkata,MAA → CCU,1366,No,7:05,9:20,135,non-stop,No info,3687,Mid,0.001327238
Jet Airways,09-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,4:25,1015,1 stop,In-flight meal not included,10262,High,0.092673869
IndiGo,06-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:35,1:30,895,1 stop,No info,6979,Low,0.012972695
Multiple carriers,21-03-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:05,16:10,545,1 stop,No info,6717,High,0.042119816
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,8:55,23:00,845,1 stop,No info,16736,High,0.066758984
Air India,15-03-19,Banglore,New Delhi,BLR → MAA → DEL,2468,MAA,11:50,19:50,480,1 stop,No info,7192,Mid,0.024396627
IndiGo,15-04-19,Kolkata,Banglore,CCU → MAA → BLR,1650,MAA,6:20,10:30,250,1 stop,No info,4226,Low,0.005137245
Multiple carriers,21-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:30,19:00,630,1 stop,No info,9627,High,0.039017972
Jet Airways,03-04-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,19:00,1005,1 stop,In-flight meal not included,4757,High,0.003787518
Jet Airways,24-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,22:35,510,1 stop,No info,14571,High,0.096462869
Air Asia,01-04-19,Kolkata,Banglore,CCU → BBI → BLR,2842,BBI,6:50,10:30,220,1 stop,No info,5162,Low,0.001321457
Jet Airways,18-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,16:20,1430,1 stop,In-flight meal not included,10844,High,0.096462869
SpiceJet,21-03-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:30,150,non-stop,No check-in baggage included,3815,Low,0.002698904
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,11:40,9:30,1310,1 stop,No info,17261,High,0.066758984
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,21:25,7:40,615,1 stop,No info,16736,High,0.066758984
SpiceJet,21-06-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:25,145,non-stop,No check-in baggage included,3841,Low,0.003905035
Jet Airways,24-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,20:45,400,1 stop,In-flight meal not included,10844,High,0.096462869
IndiGo,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:45,21:00,615,1 stop,No info,6838,Low,0.019701721
Air India,12-05-19,Kolkata,Banglore,CCU → BBI → BLR,2842,BBI,12:00,13:15,1515,1 stop,No info,6612,Mid,0.032907883
Air India,09-03-19,Banglore,New Delhi,BLR → DEL,1740,No,13:20,16:10,170,non-stop,No info,8851,Mid,0.024396627
Vistara,06-03-19,Mumbai,Hyderabad,BOM → DEL → HYD,2669,DEL,8:45,19:55,670,1 stop,No info,12395,Mid,0.003001829
Air Asia,24-06-19,Banglore,Delhi,BLR → DEL,1740,No,4:55,7:45,170,non-stop,No info,4282,Low,0.001082166
Jet Airways,21-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,9:20,800,1 stop,No info,14781,High,0.096462869
Multiple carriers,12-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,9:45,22:30,765,1 stop,No info,9646,High,0.055466841
IndiGo,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,15:00,1:30,630,1 stop,No info,6628,Low,0.012972695
Vistara,18-06-19,Banglore,Delhi,BLR → DEL,1740,No,7:00,9:40,160,non-stop,No info,4668,Mid,0.002233631
Multiple carriers,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:00,1:35,455,1 stop,No info,16863,High,0.042119816
Multiple carriers,09-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,19:00,720,1 stop,No info,12192,High,0.055466841
Jet Airways,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,4:25,1570,1 stop,No info,12719,High,0.040169935
Jet Airways,21-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,21:50,12:35,885,1 stop,In-flight meal not included,12898,High,0.055619755
Jet Airways,03-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,19:45,19:00,1395,1 stop,In-flight meal not included,10262,High,0.092673869
SpiceJet,24-05-19,Kolkata,Banglore,CCU → IXB → BLR,3453,IXB,15:55,21:25,330,1 stop,No info,7804,Low,0.004804334
IndiGo,18-04-19,Kolkata,Banglore,CCU → BLR,1559,No,4:40,7:15,155,non-stop,No info,4174,Low,0.005137245
IndiGo,27-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,20:05,21:40,95,non-stop,No info,2227,Low,0.002158096
Jet Airways,18-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,22:50,9:00,610,1 stop,In-flight meal not included,11087,High,0.066758984
Multiple carriers,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,18:50,650,1 stop,No info,11667,High,0.042119816
Air India,06-03-19,Delhi,Cochin,DEL → COK,2081,No,18:05,21:10,185,non-stop,No info,7931,Mid,0.021058997
IndiGo,12-06-19,Chennai,Kolkata,MAA → CCU,1366,No,22:05,0:25,140,non-stop,No info,5277,Low,0.002733855
Jet Airways,12-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,18:15,705,1 stop,No info,13626,High,0.03720203
Jet Airways,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,4:25,610,1 stop,In-flight meal not included,12373,High,0.055619755
Jet Airways,24-03-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,18:10,700,1 stop,In-flight meal not included,10031,High,0.012528831
Jet Airways,12-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,20:45,1695,1 stop,In-flight meal not included,10844,High,0.096462869
GoAir,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:35,19:35,540,1 stop,No info,6591,Low,0.001033037
Jet Airways,01-04-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,19:00,1485,1 stop,In-flight meal not included,5406,High,0.003787518
Jet Airways,15-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,16:20,1150,1 stop,In-flight meal not included,10844,High,0.096462869
SpiceJet,27-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,22:45,0:15,90,non-stop,No info,2017,Low,0.00100085
Jet Airways,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:00,12:35,1595,1 stop,In-flight meal not included,12373,High,0.055619755
Air India,06-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,19:15,735,1 stop,No info,8669,Mid,0.029230629
Air Asia,27-03-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,7:55,15:45,470,1 stop,No info,6151,Low,0.001256711
Multiple carriers,18-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,9:45,22:30,765,1 stop,No info,10348,High,0.039017972
Jet Airways,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,19:55,22:35,160,non-stop,No info,8016,High,0.066758984
IndiGo,12-06-19,Banglore,Delhi,BLR → DEL,1740,No,8:30,11:20,170,non-stop,No info,4823,Low,0.005589388
Air India,21-05-19,Kolkata,Banglore,CCU → BLR,1559,No,14:15,16:45,150,non-stop,No info,5510,Mid,0.032907883
Air India,18-03-19,Mumbai,Hyderabad,BOM → HYD,622,No,6:20,7:40,80,non-stop,No info,3100,Mid,0.006809644
Jet Airways,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,19:00,1485,1 stop,In-flight meal not included,10262,High,0.092673869
